window_id,window_start,window_end,Batch,has_near_transition,baseline_batch_used,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
150,2025-12-10 21:07:32,2025-12-10 21:08:31,CASTILLA,False,CASTILLA,14.477957849478758,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
151,2025-12-10 21:08:32,2025-12-10 21:09:31,CASTILLA,False,CASTILLA,15.417206634002897,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
152,2025-12-10 21:09:32,2025-12-10 21:10:31,CASTILLA,False,CASTILLA,15.56905032000981,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
153,2025-12-10 21:10:32,2025-12-10 21:11:31,CASTILLA,False,CASTILLA,9.975482007177789,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
154,2025-12-10 21:11:32,2025-12-10 21:12:31,CASTILLA,False,CASTILLA,8.090165889497307,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
155,2025-12-10 21:12:32,2025-12-10 21:13:31,CASTILLA,False,CASTILLA,12.303295878439368,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
156,2025-12-10 21:13:32,2025-12-10 21:14:31,CASTILLA,False,CASTILLA,13.32364666691958,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
157,2025-12-10 21:14:32,2025-12-10 21:15:31,CASTILLA,False,CASTILLA,11.235690024711388,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
158,2025-12-10 21:15:32,2025-12-10 21:16:31,CASTILLA,False,CASTILLA,14.305537700525065,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
159,2025-12-10 21:16:32,2025-12-10 21:17:31,CASTILLA,False,CASTILLA,14.04962057138436,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
160,2025-12-10 21:17:32,2025-12-10 21:18:31,CASTILLA,False,CASTILLA,15.833972376808742,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
161,2025-12-10 21:18:32,2025-12-10 21:19:31,CASTILLA,False,CASTILLA,13.570939944050494,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
162,2025-12-10 21:19:32,2025-12-10 21:20:31,CASTILLA,False,CASTILLA,13.515384676800648,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
163,2025-12-10 21:20:32,2025-12-10 21:21:31,CASTILLA,False,CASTILLA,13.31916517243924,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
164,2025-12-10 21:21:32,2025-12-10 21:22:31,CASTILLA,False,CASTILLA,16.74649536609403,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
